,index,artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in_min_ms,time_signature,genre
0,1,Crimson Sun,Essence of Creation,34.0,0.511,0.955,1.0,-5.059,1,0.129,0.0004,8.7e-06,0.263,0.291,151.937,220413.0,4,Metal
1,3,Shawn Mendes,Wonder,80.0,0.333,0.637,1.0,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693.0,4,Pop
2,5,Paul McCartney,Pretty Boys (feat. Khruangbin),56.0,0.696,0.979,11.0,-5.338,0,0.0445,0.00244,0.768,0.116,0.962,101.021,348859.0,4,Indie_Alt
3,6,The Flaming Lips,She Don't Use Jelly,60.0,0.33,0.556,7.0,-11.494,1,0.0796,0.207,4.39e-05,0.315,0.506,173.828,222279.0,4,Indie_Alt
4,7,The Vanities,Wasted All My Days,23.0,0.43,0.942,10.0,-3.008,1,0.0913,0.000166,1.91e-05,0.103,0.557,91.483,140400.0,4,Rock
5,8,pizzagirl,car freshener aftershave,36.0,0.603,0.724,7.0,-6.843,1,0.0265,0.00135,1.02e-05,0.184,0.387,129.984,243868.0,4,Pop
6,9,Dudu Tassa,בכינו טעינו,20.0,0.403,0.742,7.0,-7.38,0,0.0604,0.218,0.00904,0.0606,0.617,167.898,239987.0,4,Rock
7,11,The Mönic,Just Mad,29.0,0.324,0.798,2.0,-8.417,1,0.031,0.0518,5.82e-06,0.256,0.534,168.132,172217.0,4,Alt_Music
8,14,Foo Fighters,Shame Shame,62.0,0.652,0.864,7.0,-4.108,1,0.0325,0.00138,0.0433,0.0371,0.38,122.026,257427.0,4,Alt_Music
9,16,Tora Tora,Blue Tommorrow,20.0,0.626,0.609,4.0,-12.226,0,0.0371,0.00803,1.92e-05,0.108,0.346,123.681,260120.0,4,Pop
10,17,Fenix TX,Phoebe Cates,36.0,0.234,0.978,7.0,-3.724,1,0.269,7.8e-05,3.06e-06,0.361,0.305,190.446,220267.0,4,Metal
11,18,For Tracy Hyde,Just Like Fireflies,30.0,0.342,0.875,2.0,-3.623,1,0.0789,0.000112,0.555,0.103,0.46,149.139,160262.0,4,Metal
12,21,KennyHoopla,how will i rest in peace if i'm buried by a highway?//,63.0,0.479,0.844,1.0,-4.338,0,0.0819,0.0134,3.91e-06,0.195,0.49,159.852,218533.0,4,Rock
13,22,Oxbow,Untitled,12.0,0.408,0.56,9.0,-6.451,0,0.164,0.173,2.13e-05,0.129,0.394,131.507,370133.0,3,Rock
14,24,Arlo Parks,Caroline,60.0,0.596,0.576,10.0,-7.955,1,0.0388,0.376,0.0904,0.107,0.485,160.176,216933.0,4,Alt_Music
15,26,Santana,"Evil Ways - Live at The Woodstock Music & Art Fair, August 16, 1969",32.0,0.587,0.672,7.0,-11.698,1,0.0445,0.0226,0.0935,0.503,0.913,127.48,240640.0,4,Alt_Music
16,27,Lata Mangeshkar,Panchhi Banoon Udti Phiroon,11.0,0.359,0.61,2.0,-8.359,1,0.0692,0.799,2.15e-05,0.491,0.91,171.854,4.551783333,3,Bollywood
17,28,Nirvana,Smells Like Teen Spirit,82.0,0.502,0.912,1.0,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920.0,4,Rock
18,29,Death Valley Girls,Street Justice,25.0,0.324,0.948,9.0,-4.609,1,0.0522,8.85e-06,0.561,0.165,0.342,90.542,160587.0,4,Alt_Music
19,30,Foghat,Slow Ride,67.0,0.493,0.586,2.0,-13.916,1,0.046,0.0202,0.00106,0.102,0.656,113.618,232533.0,4,Rock
20,31,Magnus Karlsson’s Free Fall,Temples And Towers,28.0,0.273,0.955,7.0,-5.624,0,0.105,2.33e-05,0.000818,0.334,0.198,199.948,337147.0,4,Metal
21,36,"Invent, Animate",Cloud Cascade,41.0,0.486,0.961,5.0,-4.234,0,0.0831,0.00022,0.0035,0.0904,0.219,116.024,249078.0,4,Metal
22,37,Sløtface,Tap the pack,23.0,0.401,0.822,9.0,-7.091,1,0.122,0.000147,0.0011,0.0713,0.674,174.966,146520.0,4,Rock
23,40,Tim Atlas,Compromised,47.0,0.957,0.425,11.0,-8.002,0,0.0538,0.164,0.00665,0.0656,0.961,108.971,226235.0,4,Indie_Alt
24,41,"Luther ""Snake Boy"" Johnson",They call me the snake,30.0,0.6,0.319,4.0,-12.587,1,0.143,0.739,0.102,0.289,0.41,137.954,337600.0,3,Indie_Alt
25,43,Bad Waitress,That Sedative,35.0,0.175,0.857,9.0,-4.325,0,0.0416,5.5e-06,0.839,0.353,0.43,170.136,141404.0,4,Metal
26,44,Imagine Dragons,Next To Me,70.0,0.301,0.672,2.0,-4.497,1,0.0623,0.28,3.1e-05,0.0609,0.384,169.497,230289.0,3,Alt_Music
27,45,Bully,Where to Start,44.0,0.341,0.875,9.0,-4.581,1,0.0406,2.32e-05,0.126,0.135,0.477,78.948,180601.0,4,Metal
28,46,The Doors,Roadhouse Blues,71.0,0.623,0.633,9.0,-8.212,1,0.0304,0.336,4.6e-05,0.147,0.895,121.119,243827.0,4,Rock
29,47,Beach Bunny,Blame Game,56.0,0.364,0.719,7.0,-5.567,1,0.0439,0.0551,3.15e-06,0.0824,0.352,97.5,214924.0,4,Indie_Alt
30,48,Ron Gallo,"Young Lady, You're Scaring Me",59.0,0.371,0.921,9.0,-5.533,1,0.0784,0.0113,2.7e-05,0.43,0.508,109.675,220538.0,4,Rock
31,49,Light The Torch,Wilting in the Light,53.0,0.393,0.874,7.0,-5.566,1,0.0582,3.11e-05,0.0265,0.12,0.378,155.013,228738.0,4,Indie_Alt
32,50,Korn,Rotting In Vain,49.0,0.498,0.946,2.0,-4.793,1,0.0602,0.000121,2.56e-05,0.359,0.31,106.275,213000.0,4,Rock
33,51,Suicidal Tendencies,You Can't Bring Me Down,55.0,0.281,0.958,4.0,-10.798,0,0.375,0.00195,4.69e-05,0.0915,0.0381,136.851,348093.0,4,Rock
34,52,Sirenia,Voyage Voyage,48.0,0.527,0.941,1.0,-5.224,1,0.0513,0.00102,0.0166,0.205,0.62,125.994,258564.0,4,Metal
35,54,U2,With Or Without You - Remastered,79.0,0.54,0.429,2.0,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,295516.0,4,Indie_Alt
36,57,Post-Party,Wasting Time,39.0,0.459,0.747,3.0,-5.439,1,0.0309,0.000956,0.000146,0.104,0.673,89.974,167556.0,4,Indie_Alt
