iter	MultiClass
0	2.214208663
1	2.096664331
2	1.994469324
3	1.917008636
4	1.854591984
5	1.795740964
6	1.732396443
7	1.66794879
8	1.613880627
9	1.561873063
10	1.524672925
11	1.498295393
12	1.464132147
13	1.431372239
14	1.412215512
15	1.392316475
16	1.378080242
17	1.35521795
18	1.337086987
19	1.31792009
20	1.304576585
21	1.287904232
22	1.271522186
23	1.256406519
24	1.238509238
25	1.225771348
26	1.214271427
27	1.202551925
28	1.189880072
29	1.179924541
30	1.17075262
31	1.157789041
32	1.146063873
33	1.136276954
34	1.127271296
35	1.120641696
36	1.117187294
37	1.109163477
38	1.10390069
39	1.099087485
40	1.093627273
41	1.089263453
42	1.085503728
43	1.079087163
44	1.074214294
45	1.068911168
46	1.061076268
47	1.058361855
48	1.052641521
49	1.047021188
50	1.043578481
51	1.039259893
52	1.034703461
53	1.029663825
54	1.027210224
55	1.023225129
56	1.01955931
57	1.016824563
58	1.01254914
59	1.00921989
60	1.006468942
61	1.004127239
62	1.001898916
63	0.9994002312
64	0.9979325549
65	0.9952131784
66	0.9928812666
67	0.9900556228
68	0.9874551414
69	0.9854247769
70	0.9824337211
71	0.9793336742
72	0.9774956965
73	0.9757089335
74	0.9734213253
75	0.9718705178
76	0.9697276855
77	0.9685079953
78	0.9664525033
79	0.9646404257
80	0.9627686821
81	0.9614810334
82	0.9595928528
83	0.9563077533
84	0.9533070723
85	0.9517800638
86	0.9484756547
87	0.9456029129
88	0.9447485676
89	0.9432033017
90	0.9414076374
91	0.9394293216
92	0.9377873254
93	0.936250057
94	0.9343563503
95	0.9328292896
96	0.9316589475
97	0.9299054732
98	0.9278090838
99	0.9258689399
100	0.9247947552
101	0.92391779
102	0.9223706113
103	0.9211943204
104	0.9187077693
105	0.9169115043
106	0.9149192818
107	0.9132900219
108	0.911291601
109	0.9093935989
110	0.9075722734
111	0.9058917044
112	0.9040899216
113	0.9024303282
114	0.9008477473
115	0.8988586838
116	0.8970798678
117	0.8953409697
118	0.8937528652
119	0.8920082269
120	0.890199066
121	0.8887194206
122	0.8873084584
123	0.8856098029
124	0.8843200712
125	0.8828403546
126	0.8815989835
127	0.8800818952
128	0.8785381405
129	0.8766536248
130	0.8751743816
131	0.8734658736
132	0.8727962216
133	0.871740592
134	0.870384579
135	0.8691091799
136	0.867869374
137	0.866859633
138	0.8661564654
139	0.8651392581
140	0.863818174
141	0.8626896813
142	0.8613012313
143	0.8605156254
144	0.859445257
145	0.8580867632
146	0.8573733244
147	0.8563357624
148	0.8552000396
149	0.8540722878
150	0.852608157
151	0.8516470665
152	0.8503021309
153	0.8495654627
154	0.8484396738
155	0.8477231695
156	0.8467916763
157	0.8458401755
158	0.8450299168
159	0.8442980934
160	0.843476722
161	0.8425814155
162	0.8415284548
163	0.8404440278
164	0.8389205483
165	0.8380591068
166	0.8370450527
167	0.8363545627
168	0.8352059274
169	0.8344089118
170	0.8333739805
171	0.8324702396
172	0.8317957845
173	0.8310892323
174	0.8302024854
175	0.8295202799
176	0.8285336479
177	0.8278832062
178	0.8270160508
179	0.8258040804
180	0.8248451657
181	0.824137441
182	0.8234570363
183	0.8227776203
184	0.8221031668
185	0.8214845302
186	0.820747071
187	0.8201203465
188	0.8191310501
189	0.8186786668
190	0.8178206796
191	0.8171343188
192	0.8164151962
193	0.8152886259
194	0.8145680455
195	0.8137208315
196	0.8127449156
197	0.8117040964
198	0.8110722536
199	0.810418169
200	0.8095429354
201	0.8087628983
202	0.8082042108
203	0.8073515519
204	0.8066253855
205	0.8063315146
206	0.8055580278
207	0.804973081
208	0.8043618895
209	0.8035670501
210	0.8030757995
211	0.8023143979
212	0.8017194673
213	0.8012639136
214	0.8004756257
215	0.799802452
216	0.7992377223
217	0.7984033064
218	0.7976721496
219	0.7969220652
220	0.7964018397
221	0.7959289237
222	0.7956057035
223	0.7951658251
224	0.7944719191
225	0.7937850966
226	0.7931725562
227	0.7922378262
228	0.7913731687
229	0.790543747
230	0.7900893102
231	0.789390783
232	0.7888761532
233	0.7882841784
234	0.7874950903
235	0.7869500336
236	0.7862862167
237	0.7855751157
238	0.7849033808
239	0.7845680403
240	0.7836375026
241	0.7830873049
242	0.7828256068
243	0.7824024392
244	0.7819563756
245	0.7816262925
246	0.7810197975
247	0.7805242897
248	0.7801168121
249	0.7794882194
250	0.7791354582
251	0.7785740019
252	0.778156869
253	0.7775077772
254	0.7767510563
255	0.7762787724
256	0.7754889352
257	0.7750238535
258	0.7738682365
259	0.7733347311
260	0.7725821808
261	0.7719603925
262	0.7712886658
263	0.7710024913
264	0.7706743295
265	0.7701442605
266	0.7695207416
267	0.768435376
268	0.7677995629
269	0.7670215255
270	0.7664514042
271	0.7658928333
272	0.7653770544
273	0.7645438003
274	0.7637253262
275	0.7628156288
276	0.7618691726
277	0.7613264682
278	0.7609279351
279	0.7603790112
280	0.7597238249
281	0.7591648222
282	0.7581520094
283	0.7576110436
284	0.7568904289
285	0.7561826095
286	0.7555880456
287	0.7551096143
288	0.7544009116
289	0.7540838743
290	0.7535647779
291	0.7533931014
292	0.7530348141
293	0.7525835562
294	0.7522682744
295	0.7520005102
296	0.7515317447
297	0.7511384746
298	0.7504322658
299	0.7500088206
300	0.7495318293
301	0.7487758043
302	0.7482900581
303	0.7477474091
304	0.7469019796
305	0.7463200406
306	0.7459019227
307	0.7452315645
308	0.7447138249
309	0.7441642786
310	0.7437096783
311	0.7432225858
312	0.7425919468
313	0.7419312266
314	0.7415840275
315	0.7407330288
316	0.7404697566
317	0.7396900402
318	0.7389729286
319	0.7387488976
320	0.7379027558
321	0.7377436309
322	0.7371083071
323	0.7365614147
324	0.7360199586
325	0.7354352325
326	0.735090076
327	0.7343099613
328	0.733997309
329	0.7335177439
330	0.7330614889
331	0.7326004659
332	0.7319494285
333	0.7315663554
334	0.7310252485
335	0.7305627387
336	0.7301170125
337	0.7292878476
338	0.7288920488
339	0.7285226058
340	0.7284046568
341	0.7279860169
342	0.7275846976
343	0.7271580826
344	0.7268910035
345	0.7261665872
346	0.7257229856
347	0.7252161822
348	0.7248396156
349	0.7245779227
350	0.7240046062
351	0.72350499
352	0.7232074507
353	0.7229997461
354	0.7227792764
355	0.7221495122
356	0.7217688689
357	0.7215382562
358	0.7210552573
359	0.7204406691
360	0.7200963069
361	0.7197096686
362	0.7193573116
363	0.7189136413
364	0.7184827689
365	0.717921642
366	0.7175043052
367	0.7169323258
368	0.7163668625
369	0.7159276754
370	0.7156445549
371	0.7151535578
372	0.7147733812
373	0.7142716342
374	0.7139691817
375	0.71384912
376	0.7135273538
377	0.7131571513
378	0.7128673809
379	0.7125684622
380	0.7122525891
381	0.71169154
382	0.711402784
383	0.7111126086
384	0.7106046058
385	0.7102954212
386	0.7099235036
387	0.70936054
388	0.7087307411
389	0.708298716
390	0.7079327546
391	0.7076852128
392	0.7074567226
393	0.7069998117
394	0.7069152919
395	0.7066794879
396	0.7064814215
397	0.7061102414
398	0.7053905615
399	0.7051212901
400	0.7048154033
401	0.7042643027
402	0.704066295
403	0.7038386934
404	0.7033580838
405	0.7032240301
406	0.702823942
407	0.7020496623
408	0.7018387603
409	0.7013602151
410	0.7011970585
411	0.7007447232
412	0.6999651943
413	0.6992664632
414	0.6989653809
415	0.6985303619
416	0.6981482418
417	0.6979657542
418	0.6972968403
419	0.6967204809
420	0.6964998783
421	0.6960826579
422	0.6955605023
423	0.6949810171
424	0.694494567
425	0.6943093291
426	0.6938476678
427	0.6934128104
428	0.6927642249
429	0.6925575596
430	0.6923604206
431	0.6919471273
432	0.6914812762
433	0.690931452
434	0.6905305208
435	0.6903596184
436	0.6897579906
437	0.6895609128
438	0.6891897551
439	0.6887729829
440	0.6883141744
441	0.6879818823
442	0.6877226508
443	0.6870805068
444	0.6866896263
445	0.6862349433
446	0.6859337371
447	0.6856852421
448	0.6851753301
449	0.684903786
450	0.6844757284
451	0.6840228842
452	0.683634614
453	0.6833830732
454	0.6829620199
455	0.6825535919
456	0.6822214695
457	0.6818045559
458	0.6816061235
459	0.6812322646
460	0.6807819667
461	0.6803186833
462	0.6799078061
463	0.6797161117
464	0.6793013999
465	0.679103628
466	0.6789244938
467	0.6784761033
468	0.6778789913
469	0.6776549228
470	0.6772461762
471	0.6767817706
472	0.6764969215
473	0.6760476494
474	0.6758675379
475	0.6755537243
476	0.6752483114
477	0.6749979557
478	0.6746777182
479	0.6743288494
480	0.6740049234
481	0.6735344444
482	0.6731357152
483	0.672718193
484	0.6723392175
485	0.6719532464
486	0.6713797743
487	0.6710286887
488	0.6707255576
489	0.6702228243
490	0.6697921459
491	0.6693802338
492	0.6687827045
493	0.6683584242
494	0.6678126752
495	0.6676039825
496	0.6671769224
497	0.666660349
498	0.6660809322
499	0.6658288663
500	0.6656254601
501	0.6652965241
502	0.6649586921
503	0.6647153705
504	0.6642940879
505	0.6638667789
506	0.6634025961
507	0.6630626274
508	0.6628711008
509	0.6623618404
510	0.6620213702
511	0.6616496707
512	0.6613891897
513	0.6610512727
514	0.6603593727
515	0.6600515709
516	0.6598096753
517	0.6593288121
518	0.6589935073
519	0.6588250418
520	0.6584767499
521	0.6579886934
522	0.6575452196
523	0.6572435845
524	0.6568725231
525	0.656682633
526	0.6561134258
527	0.6557004502
528	0.6551849451
529	0.6547015146
530	0.6543258674
531	0.6540156473
532	0.6535445492
533	0.6532475502
534	0.6529750092
535	0.6526903374
536	0.652548701
537	0.651830346
538	0.6515747666
539	0.6513300715
540	0.6507640794
541	0.6504618882
542	0.650103091
543	0.6494037746
544	0.648760707
545	0.648156636
546	0.6479077023
547	0.6475076571
548	0.6473370065
549	0.6467697858
550	0.6465119062
551	0.6460650517
552	0.645829962
553	0.6454624763
554	0.6451793619
555	0.6445727077
556	0.6440601962
557	0.6438607912
558	0.6433522059
559	0.642846676
560	0.6425445303
561	0.6421740235
562	0.6418183097
563	0.6412045884
564	0.6409274534
565	0.6405859761
566	0.6402169893
567	0.6399835126
568	0.6393781942
569	0.6390092913
570	0.6386611654
571	0.63812097
572	0.6379268443
573	0.6375538676
574	0.6370308639
575	0.6367470042
576	0.6363185218
577	0.636041879
578	0.6355974306
579	0.634998476
580	0.634716775
581	0.6343124308
582	0.6338986526
583	0.6336446472
584	0.6333764779
585	0.6329149683
586	0.6326815193
587	0.632245906
588	0.6319458891
589	0.6317554285
590	0.631482729
591	0.6311413507
592	0.6308007066
593	0.6305529104
594	0.6301344261
595	0.6299462329
596	0.6297110593
597	0.6295276447
598	0.6293340032
599	0.6288305831
600	0.6285788747
601	0.6282400709
602	0.6279775641
603	0.627651093
604	0.6272856272
605	0.6269507367
606	0.6267781438
607	0.6263516421
608	0.6260681376
609	0.6256423891
610	0.6254087039
611	0.6251758351
612	0.6249632086
613	0.6244303048
614	0.6242219024
615	0.6238969327
616	0.6235948868
617	0.6234176007
618	0.6228552995
619	0.6222385532
620	0.6219881337
621	0.6217672627
622	0.6213861463
623	0.6211930655
624	0.6207767664
625	0.6204555202
626	0.6203509355
627	0.6201099134
628	0.6198919879
629	0.6194889031
630	0.6191850199
631	0.6189049887
632	0.6186994042
633	0.6182397919
634	0.6179193876
635	0.6174591437
636	0.6173152122
637	0.6171141439
638	0.6169716882
639	0.6166370531
640	0.616095041
641	0.6158201731
642	0.6156485089
643	0.6149353108
644	0.614450817
645	0.6142448676
646	0.613984572
647	0.6138179801
648	0.6131907979
649	0.6127938644
650	0.6124591448
651	0.6120875547
652	0.6118788998
653	0.6113850673
654	0.6112713069
655	0.61092468
656	0.6106559742
657	0.6102886883
658	0.6099134804
659	0.6096662119
660	0.6093015564
661	0.609188463
662	0.608867956
663	0.608504943
664	0.6080086386
665	0.607229157
666	0.6069808783
667	0.6067520419
668	0.6065538022
669	0.6062477662
670	0.6059922033
671	0.6055671339
672	0.6052634915
673	0.6049575197
674	0.6047189389
675	0.6044048489
676	0.6042151014
677	0.6038074632
678	0.6035353146
679	0.6032031961
680	0.6026948081
681	0.6026070805
682	0.6022871046
683	0.6018485802
684	0.6014521554
685	0.6010541279
686	0.6006416865
687	0.6001357809
688	0.5999540798
689	0.5998199954
690	0.5995080226
691	0.5990500466
692	0.5987331945
693	0.598465909
694	0.5982391682
695	0.5978641093
696	0.5974971354
697	0.5971706961
698	0.5967995387
699	0.5963944733
700	0.5960220502
701	0.5956797083
702	0.5955088816
703	0.5952965763
704	0.5949907121
705	0.5948334271
706	0.5945121131
707	0.5942136177
708	0.5938967648
709	0.5935591064
710	0.5932194883
711	0.5929469197
712	0.5926214991
713	0.5922328669
714	0.5918306893
715	0.5914173399
716	0.5911172678
717	0.5908475421
718	0.5906447476
719	0.5905072031
720	0.5903855045
721	0.5900045871
722	0.5898220786
723	0.5895243923
724	0.5893132918
725	0.5890160408
726	0.5886905106
727	0.5884804632
728	0.5882700743
729	0.5880444391
730	0.5877975471
731	0.5873668932
732	0.5870992749
733	0.5869503654
734	0.5866371032
735	0.5864068067
736	0.5860464925
737	0.5855894964
738	0.5852600517
739	0.5849329053
740	0.5847984748
741	0.5845442384
742	0.5841684312
743	0.5837074949
744	0.5829488894
745	0.5825691829
746	0.5820834771
747	0.5818221313
748	0.5812829181
749	0.580913638
750	0.5805496998
751	0.5801635459
752	0.5798615172
753	0.5792270461
754	0.5789463415
755	0.5785285283
756	0.57796407
757	0.5778348522
758	0.5774704262
759	0.577188597
760	0.5767945016
761	0.5765139901
762	0.5764259851
763	0.5760659813
764	0.5758837603
765	0.5755760316
766	0.5753649568
767	0.5747772453
768	0.5746327694
769	0.574364691
770	0.5740989006
771	0.5736290184
772	0.5732631663
773	0.5728126091
774	0.5725337661
775	0.572224525
776	0.5719424766
777	0.5717426726
778	0.5715428528
779	0.571245883
780	0.5709394726
781	0.5708229428
782	0.570518458
783	0.57017897
784	0.56978631
785	0.5693350436
786	0.5688979977
787	0.5687311684
788	0.5682574933
789	0.5679300078
790	0.567446694
791	0.5671252585
792	0.5665350442
793	0.5662926304
794	0.5658522567
795	0.5655754985
796	0.5650985208
797	0.5649122515
798	0.5646667916
799	0.5642633335
800	0.563755656
801	0.5635037098
802	0.5632159406
803	0.5628043022
804	0.5625261499
805	0.5622378406
806	0.561959367
807	0.5618011682
808	0.5614262836
809	0.5611547957
810	0.5608284551
811	0.5604426271
812	0.560197182
813	0.5599347009
814	0.5595224276
815	0.5590743099
816	0.5589158621
817	0.5587290437
818	0.5583852971
819	0.5580471573
820	0.5578261304
821	0.5576761936
822	0.5575025375
823	0.5572177753
824	0.5569633015
825	0.5564163064
826	0.5560854187
827	0.5558398781
828	0.5555403147
829	0.5552870424
830	0.5551491144
831	0.5548251671
832	0.5546136464
833	0.5543635667
834	0.5540303821
835	0.5537056668
836	0.5533645053
837	0.5530533431
838	0.5527857994
839	0.5527138669
840	0.5523797583
841	0.5521096849
842	0.5519627157
843	0.5516941146
844	0.5512850137
845	0.5509097508
846	0.5506271413
847	0.5503995227
848	0.5501218384
849	0.5496455764
850	0.5495067596
851	0.549018487
852	0.5486970212
853	0.548467032
854	0.5481743379
855	0.5478325216
856	0.5472983097
857	0.5470644125
858	0.5468859932
859	0.5466303749
860	0.5463839088
861	0.5461948969
862	0.5458517026
863	0.5454959212
864	0.5451357768
865	0.5448580099
866	0.5444783487
867	0.5442277568
868	0.5440275796
