iter	Passed	Remaining
0	75	75171
1	146	73351
2	209	69731
3	277	68990
4	333	66376
5	389	64535
6	440	62483
7	504	62610
8	568	62600
9	624	61781
10	689	61978
11	750	61820
12	819	62185
13	887	62513
14	948	62284
15	1015	62455
16	1084	62706
17	1153	62931
18	1224	63221
19	1288	63133
20	1347	62823
21	1406	62547
22	1466	62303
23	1523	61956
24	1584	61795
25	1643	61569
26	1703	61382
27	1749	60744
28	1805	60450
29	1862	60220
30	1924	60150
31	1987	60111
32	2029	59474
33	2088	59335
34	2148	59227
35	2207	59102
36	2253	58639
37	2311	58516
38	2369	58377
39	2428	58277
40	2490	58259
41	2550	58182
42	2612	58133
43	2677	58164
44	2735	58043
45	2793	57924
46	2852	57831
47	2915	57824
48	2972	57694
49	3029	57553
50	3086	57432
51	3142	57298
52	3202	57216
53	3258	57091
54	3317	56993
55	3371	56830
56	3429	56729
57	3488	56665
58	3549	56615
59	3608	56527
60	3667	56455
61	3729	56417
62	3780	56222
63	3839	56154
64	3883	55867
65	3935	55694
66	3994	55623
67	4054	55565
68	4112	55486
69	4170	55411
70	4231	55369
71	4292	55319
72	4351	55264
73	4408	55164
74	4467	55093
75	4527	55048
76	4586	54980
77	4645	54911
78	4701	54809
79	4762	54769
80	4823	54728
81	4885	54698
82	4947	54657
83	5004	54568
84	5059	54464
85	5113	54344
86	5170	54257
87	5228	54183
88	5284	54091
89	5345	54046
90	5408	54025
91	5464	53931
92	5519	53829
93	5580	53787
94	5639	53721
95	5699	53667
96	5743	53463
97	5802	53410
98	5869	53416
99	5941	53474
100	6002	53431
101	6064	53389
102	6121	53309
103	6182	53265
104	6230	53104
105	6286	53022
106	6339	52906
107	6402	52877
108	6459	52803
109	6516	52727
110	6577	52682
111	6636	52615
112	6697	52570
113	6758	52528
114	6815	52449
115	6870	52360
116	6927	52281
117	6987	52231
118	7047	52172
119	7103	52095
120	7165	52054
121	7223	51982
122	7280	51907
123	7335	51824
124	7395	51770
125	7451	51687
126	7510	51625
127	7566	51547
128	7626	51495
129	7677	51382
130	7734	51305
131	7791	51238
132	7855	51207
133	7915	51156
134	7973	51088
135	8036	51054
136	8093	50985
137	8158	50959
138	8215	50886
139	8272	50818
140	8329	50742
141	8386	50676
142	8442	50596
143	8501	50534
144	8557	50461
145	8615	50396
146	8673	50330
147	8731	50264
148	8787	50189
149	8847	50134
150	8903	50061
151	8960	49988
152	9016	49912
153	9073	49843
154	9130	49777
155	9187	49709
156	9250	49669
157	9306	49596
158	9365	49538
159	9424	49478
160	9471	49359
161	9530	49297
162	9587	49232
163	9644	49165
164	9700	49092
165	9758	49026
166	9815	48961
167	9874	48903
168	9932	48840
169	9995	48802
170	10051	48727
171	10110	48670
172	10167	48604
173	10214	48487
174	10271	48422
175	10323	48332
176	10378	48255
177	10435	48191
178	10494	48135
179	10543	48032
180	10600	47966
181	10651	47874
182	10700	47770
183	10763	47735
184	10826	47696
185	10884	47634
186	10944	47580
187	11006	47538
188	11063	47475
189	11123	47419
190	11182	47362
191	11242	47310
192	11297	47239
193	11354	47173
194	11413	47115
195	11475	47072
196	11531	47005
197	11589	46942
198	11647	46880
199	11710	46840
200	11764	46765
201	11827	46724
202	11889	46681
203	11945	46611
204	12005	46557
205	12067	46511
206	12125	46451
207	12184	46395
208	12242	46335
209	12299	46269
210	12361	46224
211	12423	46178
212	12484	46128
213	12538	46054
